GraphID,TRCentralityWithInDegreeNodes,katzCentralityWithInDegreeNodes,behavioralDefender,defenceInDepth,riskBasedDefence,minCut
DER,74.78634142,76.19858311,26.83843711,26.83843711,26.83843711,31.98842707
Real Graph Fig. 8,96.43312306,96.36644058,53.66306308,53.66306308,53.66306308,40.92224861
e_commerce,63.76181298,66.15010602,26.83843711,26.83843711,26.83843711,19.92625971
VOiP,71.04786442,72.42022216,24.85227069,24.85227069,24.85227069,35.7455365
SCADA,51.82781846,60.72645864,39.34693403,39.34693403,39.34693403,69.76616003
